comment,abusive,Race,Religion,Gender,Sexual_Orientation,Miscellaneous
His patience with this woman who is completely incapable of truly listening to a rational viewpoint if it differs from her own is beyond impressive.,0,0,0,0,0,0
"Buck, buck, buck, buck, buck, buck! X 100",0,0,0,0,0,0
"22:56 in a ring, that’s called a liver punch 💥",0,0,0,0,0,0
The interview of a decade ❤,0,0,0,0,0,0
"Wow. One needs to hear only this single interview with Prof. Jordan Peterson to appreciate why his name may well endure in history among the greatest thinkers, philosophers, psychologists, and intellectuals of all time.",0,0,0,0,0,0
"One read of her Wikipedia page tells you everything you need to know - this is one of the lines:

'Newman said that women generally are misrepresented in their Wikipedia biographies because the ""internet is being written by men with an agenda.""

Glad she got absolutely schooled.",0,0,0,0,0,0
"Men set up the whole system that is favouring them and they still need to put women down by having these convoluted conversations and can’t admit to unfairness of the system 😂

He is just looking for people to argue with them so he can try to show he is better than them.",0,0,0,0,0,0
"Exaggerated Statement Designed to Provoke
States Actual Position and Gives Thoughtful Perspective
Ignores It and Moves On",0,0,0,0,0,0
This man gives 50+ Million views to channels for Fun,0,0,0,0,0,0
Superficial in life and answers.,0,0,0,0,0,0
As a male nurse for over 30 years...i have to be cautious about every word i say.....and the drama on the daily is out of control,0,0,0,0,0,0
"What if a woman said ""i don't like me""..and didn't hire any!?!?!?",0,0,0,0,0,0
"Tune in next time when Andrew discusses the same topic with a group of AMISH, MENNONITE, and MORMON females.",0,0,0,0,0,0
They are so arrogant when they argue a subject that they have never bothered to look into it at all.,0,0,0,0,0,0
Men have it way harder.,0,0,0,0,0,0
You only pay what the market dictate or you are quickly out of business.,0,0,0,0,0,0
By the way…patriarchy isn’t only upheld by men…women themselves uphold the patriarchy along with men…,0,0,0,0,0,0
"I worked in a factory where the men had to  operate heavy machinery, the women put bags in boxes. We all got equal pay.  It ended up me running every machine by myself.  It was exhausting.  The useless women would just stand there chatting whilst i had to fix the machines when they broke down",0,0,0,0,0,0
Women in my work make on average 25% more than men but we are a 95% dominant men even though women can make more. So if women are upset about their wages they should look for those jobs they can make more than a man but they don’t want my job so quit the crying.,0,0,0,0,0,0
"Men get paid less than other men for doing the same work. The ""gender wage gap"" is one of the dumbest myths ever conjured by feminists.",0,0,0,0,0,0
"In response to Andrew's question as to what is the problem with intentionally paying women less or not hiring them at all, for a single small business basis it may not be a big problem but on a societal level I think that would be a problem.",0,0,0,0,0,0
Equality 😂😂😂😂😂😂😂,0,0,0,0,0,0
"The black girl is, is, okay I have a crush on her (video crush, I realize that I wish it was real)!",1,1,0,0,0,0
Like like like like like….. with a stupid drawl on the end of each word. Horrible women!!!,1,0,0,1,0,0
Andrew - you are hilarious,0,0,0,0,0,0
"They are thinking out of inexperience. None of them are executives, so they can't speak from experience of the pay gap for executives. I know women in our executive office that make more than the men with identical job titles and tenure. The ones they you do hear about, typically are the ones doing less work and make less due to lower merit increases. Men make more in sports because they have the larger audience, but things like onlyfans, women make substantially more money than men for the same reason as men in sports. There are more factors in play other than he's a man, and she is a woman. And no offense, but most of these girls earn a living off just being female and dressing provocatively.",0,0,0,0,0,0
In the 1970s I used to work in a print plant.  They started hiring women.  Typically we would inspect and pack print products.  That meant putting them in a box gluing and placing on a pallet and changing the pallet.  So two people on a press.  An operator and a helper.  The operator makes adjustments to setting and changes mill rolls while the press is running also adding ink. For some operator tasks the operator has to be away from the front where product comes out and likewise for helper tasks like changing pallets.  While each person is performing their specific tasks all of the packing has to be done by one person.  When the women started working there the company needed to invent and build equipment or buy for the women to handle the product.  This was not necessary before the women started working there.  Any operator would much rather work with a man as a helper.,0,0,0,0,0,0
"Because these women believe that they should just be given everything, then of course they see a pay gap. They don’t see the lack of experience or less hours worked as valid reasons for being paid less.",0,0,0,0,0,0
I agreed with you on one thousand dollars... Am I not free to do with my money what I please and decide how much to pay this other person?,0,0,0,0,0,0
A firm of all women; Lululemon. It costs an arm and a leg to buy their clothes since all the women are on maternity leave in the company. You are funding other women’s maternity leave. Why?,0,0,0,0,0,0
"An interesting thought about the “wage gap”: women are overwhelmingly represented in HR. Wouldn't it stand to reason that, at best, they’re complicit — and at worst, they’re the perpetrators? 🤔
I remember my mother telling me about a woman in HR who aggressively tried to give her less than the raise she’d been promised. This was back in the ’80s. Maybe we really are our own worst enemies.",0,0,0,0,0,0
"Once again.....Andrew is presenting a false equivalency when attempting to compare a group of men walking down the same street (same side) as a female late at night and she crosses the street in fear for her life, as being the same as a male not hiring any females within his company. Although one can present an argument and state that females tend to present a certain type of behavior that can be toxic (which can be controlled) in the workplace.....that is far different than several 5'10"" -6'0"" 200 pound males walking towards a female (late at night). One situation could end in severely being physically hurt, or dead, or sexually assaulted, and the other situation ends in simply being severely irritated. 

Furthermore, and to elevate the argument and answer the question: What is morally wrong with only hiring males and no females, all because that is just what some CEO wants to do? Answer: It would be discriminatory, particularly here in the U.S.  That is my descriptive statement and thought.",0,0,0,0,0,0
Companies are starting not hire women because of the drama they bring to the workplace.,1,0,0,1,0,0
You know the Chinese have defeated the West when the West is discussing Gender pay gap and what is a woman,0,0,0,0,0,0
"It's funny how they continuously bring in young people who lack rudimentary understanding in the subject. One would think they do it to look clever. Can't we all together point at these women and say ""Look! they don't have the faintest idea! There's NO difference!""?

Booya, boys!",0,0,0,0,0,0
"The 3-D‘s of employment that men dominate in participation are the dirty, the dangerous and the difficult jobs. I would add a fourth D to the list. Dependability.  Women simply are not as dependable as men.",0,0,0,0,0,0
You can’t say penis on YouTube? It’s a body part.,0,0,0,0,0,0
"You know. The wage gap/earning gap is with the illegals hun...THAT'S WHY THEY HIRE THEM IN MASS....because they can get away with paying them less.... If that were true with women, there would be more women in mass on teams across industries than mexicans.",0,0,0,0,0,0
"I handle events management at my office, it’s the men that cause problems. And whenever we have an event it’s the girls that get together and make it happen (even work overtime and on weekends) men only come to eat, crack a bunch of awkward jokes and leave.
Once at an event literally girls came together and arranged all chairs and tables while men were shamelessly watching from a far and pretended to be busy. It’s NOT  the gender. It’s the mentality",1,0,0,1,0,0
I love the way he remains so calm and composed when he knows well they are being deliberately evasive,0,0,0,0,0,0
Losers,1,0,0,1,0,0
THIS IS GOLD,0,0,0,0,0,0
Those women have to be on something. They're talking complete nonsense.,1,0,0,1,0,0
It's funny how she says analyze data. Data is already analyzed the work been done. I could view information myself. I bet they get paid way more than me and they just read and send emails,0,0,0,0,0,0
"this is such B.S. ..... opportunity is there at all levels, some people choose to forgo those opportunities for personal comfort.",0,0,0,0,0,0
"Its obvious that logic, reason, and  inquiry are sexist.",0,0,0,0,0,0
Next................................................................................................................................................................,0,0,0,0,0,0
shame on women,1,0,0,1,0,0
"The Public Service under Labor is a bloody joke they have no idea what the answer is 
Shocking",0,0,0,0,0,0
But brawndos got what plants crave: electrolytes,0,0,0,0,0,0
Minimum wage is the same no matter who you are,0,0,0,0,0,0
That man is a true hero.,0,0,0,0,0,0
4:48  That’s called salary work. 😖,0,0,0,0,0,0
5 delusional woman “gender pay gap activists” destroyed by 1 sensible men 😂😅,0,0,0,0,0,0
5 useless b*tches sitting right there. The titles they have given themselves aswell 😂😂😂 total time waisters,1,0,0,1,0,0
"I wouldn't pay these ladies anything, as a matter of fact i would fire the whole lot at once.",0,0,0,0,0,0
Don't question the ladies! You're getting them upset!,0,0,0,0,0,0
My 12 year old daughter uses this same rationale towards her 10 year old brother when she’s trying to shift the blame to him for the lack of effort on her part,0,0,0,0,0,0
"Looked this up directly and had to scroll through 12 videos to get to it. Boy, just as misleading as the data itself.",0,0,0,0,0,0
Let him cook.,0,0,0,0,0,0
Just a natural born bullshitter isn't she ....I love it when they get tied in knots,0,0,0,0,0,0
😂😂😂 This clip is a bona fide classic,0,0,0,0,0,0
one of the dumbest modern debates,1,0,0,0,0,1
Here’s thought “if women got truly paid less then how come corrupt capitalist business owners hire a all woman staff because if their wages are systematically lower then the owner would get more profit” hmmmmmmmm,0,0,0,0,0,0
Hay una gran diferencia entre ser un alumno aplicado sobresaliente de excelencia de privilegios de prestigio de honor de servicio etcétera.,0,0,0,0,0,0
Si es posible bombardear tolemaida.,0,0,0,0,0,0
Lo siento perdiendo el tiempo.,0,0,0,0,0,0
"No vas a nacer en un lugar donde no tiene sentido nacer, infertilidad,.",0,0,0,0,0,0
"Men in high positions do get paid more than women for the same exact roles under the same contracted hours period. How do I know that, coz I have seen the data. As I matter of fact I used the data to get a raise myself. So if it doesn’t affect your shift work job it doesn’t mean it doesn’t affect others. 
If you don’t have visibility into certain realities or it doesn’t affect you please step aside. Yours truly",0,0,0,0,0,0
I’m a dude wtf is this sexism holy shit bro it’s about practice,0,0,0,0,0,0
Wasn't she the cheater girl ? 😂😂😂,1,0,0,1,1,0
This dude is genuinely spouting sexist bull lol,0,0,0,0,0,0
Ball and gun gamer,0,0,0,0,0,0
"That is a girl game exactly. Men would be very bad at it, game is too difficult for them",0,0,0,0,0,0
A lot of the women who get big in the gaming sphere often end up being exposed as cheaters...js. faze is one of them. She will destroy you with aimbots and walls.,0,0,0,0,0,0
Girl her 1v1 me ill win 100,0,0,0,0,0,0
I play valorant it ain't even that bad. Why is everybody acting like it's a girl game? It's basically just csgo but with no bombs but abilities so you don't get a flashbang. You get a flashbang but made from a robot. They really weren't creative with some of these abilities though. Like for example KJ she places down each turret just a turret. That's it,0,0,0,0,0,0
nah all girl shooters will suck the second they play roblox life sentence bro boys are like a kind of hella sweats,0,0,0,0,0,0
Frantic,0,0,0,0,0,0
Holy ball and gun gamer,0,0,0,0,0,0
What is this dishwasher yapping about 😂,1,0,0,1,0,0
Brad sucks bro,0,0,0,0,0,0
Girls generally aren't good at FPS games but the main person I play with on Battlefield is a girl up in Canada and she actually kicks a lot of ass. It's maybe a bit rare but not totally out of the question.,1,0,0,1,0,0
yikes.,0,0,0,0,0,0
Bro he is talking straight shi bro,0,0,0,0,0,0
Rowdyrogan can destroy Faze kalei,0,0,0,0,0,0
"I was once looking at the people with the highest IQ of all time, and it astounded me how almost everyone there was male. Some time later I saw the IQ spread curve for men vs women, and they're different in a way that women's curve peak higher in the middle, meaning they have a higher tendency than men to be close to the average, while men have a higher spread, meaning that both the highest and the lowest IQs in society tend to be men's.

My guess is that the same thing applies to gaming, that you'll find that both the best and the worst players are men, while women are found way more where the average rating would be.",0,0,0,0,0,0
i have female friends who absolutely annihilate at fps online games to the point where the guys get all salty and resort to grape threats,0,0,0,0,0,0
Me im very good at cod like ive gotten 41 bomb on resurgence once the rest 30 and 20 bombs,0,0,0,0,0,0
Girls are not bad at video games 😭🙏,0,0,0,0,0,0
Men tend to be more hierarchical and women ecological,0,0,0,0,0,0
Shes so fine,0,0,0,0,0,0
How bout y’all try siege,0,0,0,0,0,0
"This is why I try to avoid male gamers I only really trust female gamers, I try to remain cautious around male gamers..",0,0,0,0,0,0
She’s not even a girl,0,0,0,0,0,0
Games like valorant are for influencers and mentally twelve year olds...,0,0,0,0,0,0
"Why people always genderelized games?, i'm a woman and i play shooter games just not the multiplayer one. Many mans also play dressing up or cooking game or any ""girls"" game, game doesn't have gender you can play any games you want😂",0,0,0,0,0,0
Game dev here. Facts.,0,0,0,0,0,0
Those women would fail on LAN. And we all know why.,1,0,0,1,0,0
its crazy to me that blizzard doesnt have an inclusive scene,0,0,0,0,0,0
Men deserve their own space,0,0,0,0,0,0
"If you're a real woman gamer, play rivals and ditch over watch. Activision blizzard has a track record abusing women that lead to there end. They dont care about your pro nouns and what you are. They only use you when theyre publicly put in a bad light when legal actions are against them. We need to bring back #NotYourShield",0,0,0,0,0,0
You're a fuckng idiot. I played overwatch for several years and females are way more toxic in that game than guys. Girls in overwatch are toxic because I think they feel like they have to fit in so they try to bully someone and impress the other guys in the chat.,1,0,0,1,0,1
"She got into a competitive sphere and used her gender to throw her game off. Welcome to competitive trash talk. An art to get under people's skin to win games.

I get it it sucks listening to all the bs and horrible things some people say. However these hyper competitive games are always going to have people bad mouth everyone to throw others off.",0,0,0,0,0,0
"I have no problem with girl gamers, it's the girl devs that are killing the industry. Sweet baby inc SUCKS",1,0,0,1,0,0
"Women do suck at videogames, most sports too that can be playd by both genders, that is why we dont put them in the most serious of competitions, but it is not a reason to abuse power and demean them. For the sake of kindness, people deny this reality in fear of being called misogynistic. Man up",1,0,0,1,0,0
"0:20 ""it's not because they suck guys c'mon!!!"" 

Uh... Is that way in every competitive game ever when it's men vs women men come out on top? Every sport, chess, every video game...",0,0,0,0,0,0
"5:50 ""not trying to be sexist"" yeah clearly you don't have to try, comes natural to you",0,0,0,0,0,0
"Reason why women suck at video games is because we don't allow them to get good at games we don't allow them to play anything but animal crossing.
Let the girls play elden ring man.",0,0,0,0,0,0
"There really shouldn't be a women's league and men's league. There should be no separation. That is not equal. There is no difference in skill between males and females.

Yes, you can say that a women's league gives women the opportunity to be away from men, but an all female league can still form in a unisex league. The division is incredibly unnecessary.",0,0,0,0,0,0
"Ur full of crap

show the games
Wins
And played they played with

I GUARATEE these girls were carried

Stating there no opportunities for girls is bullshit

THEY JUST SUCK",0,0,0,0,0,0
"5:55 ok a bit of devil's advocate here... I'm a dude and I notice that if I have a bad day or I'm in a shitty mood I play worse and get tilted easier because I'm already pissed. If a woman is on her period and is in a terrible mood because that's how biology works, it is understandable that she might play worse, right? Video games are incredibly mental in a way that few other things are, so I don't think this argument holds for politics or other less ""competitive"" jobs.",0,0,0,0,0,0
how are u a dick fo literally everyone but act like this when the topic is women,1,0,0,1,0,0
"As a woman my gender becomes a poiint of conversation in VC about half of my games immediately when I get on mic. Of that, most of it is weird comments that range from joking to flirting. I get asked how old I am without fail. Once in a while I get sadistic harassment, sometimes about being female = trash at video games, sometimes graphic r*pe threats. I only play Overwatch. 
This behavior is more common in LFG discord servers. They are MORE comfortable saying deranged things to me with 3 other teammates actively on mic. Sometimes they defend me sometimes they just kinda laugh uncomfortably. Think about that. Getting into esports means joining those organized spaces that are more hostile than just the general game.
I also noticed in OW - while much better than games I used to play - has their own version of wanting women to ""stay in their lane."" I get much less sexual or sexist harassment when I queue support. I get more when I queue DPS. By far I get the most when playing tank. I've even had a guy tirade against me that women just arent good enough to play tank because we ""aren't good leaders"" and ""have no spacial awareness"" (while I was actively carrying that game on Winston btw).
I'm used to weird comments as I'm an electrical engineer and a young woman, but its nothing compared to video game communities.",0,0,0,0,0,0
women dont given the same equaly chances as men? say that to the league of legends e sport team my guy ! you miss the point from the start!,0,0,0,0,0,0
"Bad reflexes, no focus, no competitive desire, lack of critical thinking describes most female gamers. Anyone who watches female gaming streams sees this and there have been quite a number revealed to be faking it while a guy plays for them. They just want to be in gaming because, like everything else, they want to usurp it from men or be where men are having fun. And that's fine, as long as they act with the same passion and attitude, but they rarely do. If they were as good then there wouldn't be a male and female division for esports. Most of the women who are good at games end up turning out to be transwomen. People are absolutely delusional about the state of things.",1,0,0,1,0,0
"They do tho, just check the stats only high ranking female players are supports",0,0,0,0,0,0
"This video won't get you laid, dude.",0,0,0,0,0,0
"Great video, also the comments are pretty disappointing and embarassing, it's weird to think we all live on the same planet yet so many people hate others for existing.",0,0,0,0,0,0
Actually... women just suck at games on average.,1,0,0,1,0,0
"It's not as pronounced of a difference as some claim, since women can reach the highest rank in probably any game, but you just have to be honest that it does play a factor when you start looking at the best of the best. Name me one female player in a T1 esports scene in literally ANY game. Overwatch, League, CS2, Valorant, Rocket League, etc... there isn't a single female player yet alone female team in any of the top echelons of these esports. Same goes for chess. Women aren't just physically different but also their brain is too, and that's ok.",0,0,0,0,0,0
"i used to think that it was misogyny, but in truth most girls suck at games, a lot get carried to higher levels by simps, but there are good players but very few, its also another notable thing that most are extremely toxic compared to men, thanks to simps, check out the recent video about a female gamer",1,0,0,1,0,0
because they ahve never proved the opposite,0,0,0,0,0,0
Women aren't given the same opportunities as men in esports? What crack are you smoking? What esports team would turn down a great play because she is a woman.,0,0,0,0,0,0
Have you seen women play gta 5? They constantly talk over dialogue. Then ask later on how to do something when the game explained it to them. They drive horrible. Fly even worse. Select the highest crew cut so they get nothing.,1,0,0,1,0,0
"women are bad at video games, men who are bad are also women or have low test",1,0,0,1,0,0
"Thanks for speaking up about this. Not many people in games like OW or League know I'm a female, video games are for everyone regardless of gender. Lately only feels like things are getting worse. But it's nice to have someone speaking up.",0,0,0,0,0,0
"No, they all suck bc they are meant to and they shouldn’t play at all",0,0,0,0,0,0
"This is an important topic but one thing is that a lot of misogyny is very hidden and integrated into gaming culture overall :( for example overwatch, while it seems to be one of the most welcoming fps games to female gamers on the surface, as an afab I’ve felt like there’s an extreme hatred towards characters like mercy, kiriko, Juno and d.va because they seem to have a majority of female/fem-presenting people, and I don’t think there’s a coincidence that they’re some of the most hated heroes. Personally I’m extremely autistic about kiriko so I like when she gets skins. But then I thought, why do people actually get so incredibly mad about that? It’s not like she’s the only one at a time that gets skins, and even when she doesn’t I wouldn’t get angry or upset about it?… most of all I don’t solo ult or target ppl just because the character they play. Idk this migjt not make sense but I really wanted to get it off my chest if anyone cares to read :P",0,0,0,0,0,0
Average conan & red sonja comic,0,0,0,0,0,0
Damn,0,0,0,0,0,0
Hey that cod pice really shows off the muscle keep it on.,0,0,0,0,0,0
Why don't you try it on now?,0,0,0,0,0,0
Gender equity would be both wearing their armor. Predictable ending kind of killed the joke,0,0,0,0,0,0
I want so badly to wear the codpiece in a game,0,0,0,0,0,0
“For Argon!!!” I can hear the Chivalry shouting,0,0,0,0,0,0
"Hey! I need one of those
🛡️🥒🛡️😆👍",0,0,0,0,0,0
Male kirin armor,0,0,0,0,0,0
"""That looks good."" 💀",0,0,0,0,0,0
Uer so equal she never puts hers on 😂,0,0,0,0,0,0
That is definitely gender equality,0,0,0,0,0,0
"Sheeeeze man, that's it . H e could have offered her fish net armor.",0,0,0,0,0,0
Someone's been benching...,0,0,0,0,0,0
It was gender equitable!,0,0,0,0,0,0
I mean he said gender equality,0,0,0,0,0,0
I mean he wasn't lying it does look good on him lol,0,0,0,0,0,0
There should be a full set of sexualized armor,0,0,0,0,0,0
"Plot twist, Britt wasn't acting.😂",0,0,0,0,0,0
I’m happy….,0,0,0,0,0,0
This is a pure gold.,0,0,0,0,0,0
Bodger's got his priorities straight.. 🤣,0,0,0,0,0,0
"""Why don't you try it on now!"" 😂😂",0,0,0,0,0,0
He was holding his laugh in with everything but still chuckled,0,0,0,0,0,0
"Yes!!!! WHEN THEY MAKE SKIMPY ARMOR FOR MALE CHARACTERS TOO?? WHY ONLY MEN GAMERS GIVEN PLEASURE FOR THEY ESCAPE? Not FAIR!, Not EQUAL!! 😒",0,0,0,0,0,0
"Equality




















Beautiful",0,0,0,0,0,0
why didn't you show us the lady wearing hers too.,0,0,0,0,0,0
"Haha, hot.",0,0,0,0,0,0
Now that's EQUALITY 😂,0,0,0,0,0,0
Well. But SHE didn't try hers. I feel cheated :/,0,0,0,0,0,0
Osoff is a woke lefty lunatic; never trust him to buy a beer across the street. Please remove this senator minion.,0,0,0,0,0,0
Need to get Todd Trump out of there,0,0,0,0,0,0
Go get him Jon.,0,0,0,0,0,0
it's an opinion not law,0,0,0,0,0,0
They all need to go,0,0,0,0,0,0
He's acting like a trump puppet not the attorney general,0,0,0,0,0,0
"what else is a government for if not to support the weakest members? But hey didnt Trump tell his cousin who had a disabled son ""why do you bother? Just let him die!""",0,0,0,0,0,0
P O S,0,0,0,0,0,0
BLANCHE AND TRUMP  AND MILLER AND IN FACT MOST THE CABINET ARE DISABLED RELATED TO BEING TERMINAL  SOCIOPATHS. --  SHOULD BE JAILED FOR THE SAFTEY OF SOCIETY,1,0,0,0,0,1
It isn't the government job.  People can help each other out.,0,0,0,0,0,0
Impeach Trump. Article 2 section 4. Call your congress members now. This dictatorship has to stop,0,0,0,0,0,0
TB is in the jeff files,0,0,0,0,0,0
REMEMBER ALL PROGRAMS THAT HELPED PEOPLE CAME FROM THE REAL DEMS,0,0,0,0,0,0
you really expect blanche to respond?  Good luck with that,0,0,0,0,0,0
They don't observe any other rule! Why do you expect them to observe that one?,0,0,0,0,0,0
This is so amazing!  Joyrdyn is amazing!  God Bless her with continued success!,0,0,0,0,0,0
So proud of her!,0,0,0,0,0,0
they didnt teach her sign language at an  young age?,0,0,0,0,0,0
Incredible!!! Jordyn is a true inspiration! ❤🎉❤,0,0,0,0,0,0
"Jordyn was a keynote speaker at ACTEM Maine. Her presentation was visual, captivating, exceptional and memorable for any audience. As a nonspeaking autistic person, Jordyn is going to make a difference in the world.",0,0,0,0,0,0
I’m autistic (speaking) if she can get her masters I can do it too,0,0,0,0,0,0
I have a lil brother that nonverbal autism I would love him to meet her,0,0,0,0,0,0
I would love to hear her explanation as to why she is unable to speak-- how does it feel mentally or physically when she tries but is unable to talk.,0,0,0,0,0,0
I would love to know the program that Jordyn uses on the iPad.  Can she or anyone share this information?,0,0,0,0,0,0
Why does she not use her voice to speak if she can use a computer?,0,0,0,0,0,0
"""Just because you're non speaking doesn't mean that you are non thinking, non hearing, or non feeling."" 
I work with Elementary school students who have varying disabilities. We had a non speaking autistic student who made noises. I was able to give educational insight to a class of students who had not been diagnosed with autism, that there fellow student didn't have the international set up in his nervous system to use his articulations, like they did, but that he was still aware. I saw students go out of their way to communicate with him afterward. They showed patience and understanding and a sincere desire to reach out. I think if it were an assembly, Who do I go to school with"" where children and their parents and educators can be educated, that would open such a door of understanding and foster such a connection and growth experience, and open the doors for a new understanding.",0,0,0,0,0,0
My 3 yr old daughter is nonverbal autistic. This made me proud. I love this! 🥰😍❤️,0,0,0,0,0,0
Wow. Thank you jordan,0,0,0,0,0,0
That was incredible!  Thank you so much for this story and for introducing us to this amazing woman!,0,0,0,0,0,0
"It's so unfortunate that until now, no one really knew that autistic, non-speaking people were just as intelligent as neurotypicals. Only with modern technology were we able to figure it out. I'm pretty sure these individuals were locked up for the past hundreds of years due to their unique way of expressing themselves. So sad.",0,0,0,0,0,0
Love this so much and am inspired. I'm a vocational rehab. counselor for adults with teens with disabilities and appreciate her advocacy!!,0,0,0,0,0,0
"I have a few genuine clarification questions...I think the technology she is currently using is great, but a few things  said didn't make sense to me. She said her parents were shocked when she first got this technology about her intelligence and insights. Did she not have access to texting or emails when she was younger? Not exactly the same thing, but you could very much communicate your thoughts that way. Also,  would it be helpful for her to learn sign language? Yes, she can hear and not many people know it, but I imagine if she and her family learned it it would make communication much easier.",0,0,0,0,0,0
To think her eloquence and insight was assumed to into exist just because she wasn’t given a way to communicate her thoughts is unreal. What a gem.,0,0,0,0,0,0
"too much a commercial for ipads, not enough focus on ms. zimmerman",0,0,0,0,0,0
Who told Gayle that hair looks nice. They lied.,0,0,0,0,0,0
❤❤❤❤❤❤❤❤,0,0,0,0,0,0
She is a amazing person I understand how hard it’s for people to for disability because I am have disability,0,0,0,0,0,0
Wow! That's amazing and so incredible she can express herself this way.... ❤,0,0,0,0,0,0
"how is this any different than a typewriter from the early 1900's?   I mean, why wasn't she able to communicate her thoughts with her family or anyone until a robot spoke what she typed?    ...??",0,0,0,0,0,0
I wonder if she can write??,0,0,0,0,0,0
I’m one of the many people who has AUTISM  here in the world,0,0,0,0,0,0
Aw shes a lovely soul. Bless her :),0,0,0,0,0,0
Blessings and good luck for Jordyn,0,0,0,0,0,0
WHERES Carly Fleischmann??,0,0,0,0,0,0
She looks like is slightler Billie Hill,0,0,0,0,0,0
I agree with 1 side 100% and the other side 0%…..however THIS type of rhetoric and debate is what we need more of in this country!!,0,0,0,0,0,0
Parker cooked this dumbass!,1,0,0,0,0,1
Parker is wrong on this. What is the point of even having a border? He is welcoming every1 to cross the border unchecked. There is no way to document every unsolved crime that is caused by illegals. You have to put Americans first.,0,0,0,0,0,0
Parker is a clown 😂,0,0,0,0,0,0
CJ over there nodding his head to your comments but apparently he can't or doesn't know how to push back against your false statements,0,0,0,0,0,0
What a weak argument to cherry pick one incident. This guy is scared and a horrible debater. To say let’s deport all immigrants before they commit a crime is another way of saying I’m scared and a coward.,0,0,0,0,0,0
How many illegals go to Malibu and Beverly Hills etc? Remember when they were kicked out of Martha's Vineyard after only 3 days? 😭😭😭😭. Nobody is against immigrants it's illegals. Democrats changed the goal posts with words like migrants instead of illegals like there's a difference. 🤦,1,0,0,0,0,1
Had the border been secured for those 4 years these mass deportations wouldn't be necessary.,0,0,0,0,0,0
"Idea:

Jubilee Presidential Debate, under Oath with 6 live fact checkers, 2 from either party and 2 independent. 🤣",0,0,0,0,0,0
If that logic is so my black brother….,1,1,0,0,0,0
Preventing future crimes is the line to cross into tyranny,0,0,0,0,0,0
Facts vs. feelings,0,0,0,0,0,0
"What's so funny is literally the first argument he gave literally outed ICE for not even doing their jobs... 😭

Why wasn't the illegal alien who was actively stalking people not detained by ICE?

But also when you broaden the scope of who is detain-able, it quite literally redirects less focus on the ""bad"" illegals who are the ACTUAL ones who shouldn't be here.",0,0,0,0,0,0
Big fan of both Parker and CJ,0,0,0,0,0,0
While I don't agree with Parker his format here is better than the ones I see with Dean withers. Dean thinks he's winning just because he points out the guy said the wrong numbers for a statistics. For example 2.3 million instead of 2.6 million people.,0,0,0,0,0,0
we all need to collectively stop calling undocumented immigrants aliens,0,0,0,0,0,0
There is more violence by Americans then illegal immigrants!,1,0,0,0,0,1
How are mass deportations harmful? These people shouldn't be here,0,0,0,0,0,0
Things like this happen on the daily but no one seems to care until its an illegal immigrant or something like that,0,0,0,0,0,0
"How would he like it if we stereotyped all black people as being criminals, it’s basically the same thing he’s doing to immigrants.",0,0,0,0,0,0
"I still don't understand what people are tripping about. If you came illegally then they should get kicked out? Regardless of how many years you lived in the country, what is there to debate about. You broke the law in the first place, everything else is irrelevant",0,0,0,0,0,0
Them ears though😂,0,0,0,0,0,0
