comment,video_id,video_title,source_query,fetched_at
"22:56 in a ring, that’s called a liver punch 💥",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
The interview of a decade ❤,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"Wow. One needs to hear only this single interview with Prof. Jordan Peterson to appreciate why his name may well endure in history among the greatest thinkers, philosophers, psychologists, and intellectuals of all time.",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"One read of her Wikipedia page tells you everything you need to know - this is one of the lines:

'Newman said that women generally are misrepresented in their Wikipedia biographies because the ""internet is being written by men with an agenda.""

Glad she got absolutely schooled.",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"Men set up the whole system that is favouring them and they still need to put women down by having these convoluted conversations and can’t admit to unfairness of the system 😂

He is just looking for people to argue with them so he can try to show he is better than them.",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
"Exaggerated Statement Designed to Provoke
States Actual Position and Gives Thoughtful Perspective
Ignores It and Moves On",aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
This man gives 50+ Million views to channels for Fun,aMcjxSThD54,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",gender pay gap debate,2026-08-27T05:32:45
Superficial in life and answers.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
As a male nurse for over 30 years...i have to be cautious about every word i say.....and the drama on the daily is out of control,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"What if a woman said ""i don't like me""..and didn't hire any!?!?!?",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"Tune in next time when Andrew discusses the same topic with a group of AMISH, MENNONITE, and MORMON females.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
They are so arrogant when they argue a subject that they have never bothered to look into it at all.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
Men have it way harder.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
You only pay what the market dictate or you are quickly out of business.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
By the way…patriarchy isn’t only upheld by men…women themselves uphold the patriarchy along with men…,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"I worked in a factory where the men had to  operate heavy machinery, the women put bags in boxes. We all got equal pay.  It ended up me running every machine by myself.  It was exhausting.  The useless women would just stand there chatting whilst i had to fix the machines when they broke down",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
Women in my work make on average 25% more than men but we are a 95% dominant men even though women can make more. So if women are upset about their wages they should look for those jobs they can make more than a man but they don’t want my job so quit the crying.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"Men get paid less than other men for doing the same work. The ""gender wage gap"" is one of the dumbest myths ever conjured by feminists.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"In response to Andrew's question as to what is the problem with intentionally paying women less or not hiring them at all, for a single small business basis it may not be a big problem but on a societal level I think that would be a problem.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
Equality 😂😂😂😂😂😂😂,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"The black girl is, is, okay I have a crush on her (video crush, I realize that I wish it was real)!",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
Like like like like like….. with a stupid drawl on the end of each word. Horrible women!!!,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
Andrew - you are hilarious,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"They are thinking out of inexperience. None of them are executives, so they can't speak from experience of the pay gap for executives. I know women in our executive office that make more than the men with identical job titles and tenure. The ones they you do hear about, typically are the ones doing less work and make less due to lower merit increases. Men make more in sports because they have the larger audience, but things like onlyfans, women make substantially more money than men for the same reason as men in sports. There are more factors in play other than he's a man, and she is a woman. And no offense, but most of these girls earn a living off just being female and dressing provocatively.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
In the 1970s I used to work in a print plant.  They started hiring women.  Typically we would inspect and pack print products.  That meant putting them in a box gluing and placing on a pallet and changing the pallet.  So two people on a press.  An operator and a helper.  The operator makes adjustments to setting and changes mill rolls while the press is running also adding ink. For some operator tasks the operator has to be away from the front where product comes out and likewise for helper tasks like changing pallets.  While each person is performing their specific tasks all of the packing has to be done by one person.  When the women started working there the company needed to invent and build equipment or buy for the women to handle the product.  This was not necessary before the women started working there.  Any operator would much rather work with a man as a helper.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"Because these women believe that they should just be given everything, then of course they see a pay gap. They don’t see the lack of experience or less hours worked as valid reasons for being paid less.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
I agreed with you on one thousand dollars... Am I not free to do with my money what I please and decide how much to pay this other person?,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
A firm of all women; Lululemon. It costs an arm and a leg to buy their clothes since all the women are on maternity leave in the company. You are funding other women’s maternity leave. Why?,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"An interesting thought about the “wage gap”: women are overwhelmingly represented in HR. Wouldn't it stand to reason that, at best, they’re complicit — and at worst, they’re the perpetrators? 🤔
I remember my mother telling me about a woman in HR who aggressively tried to give her less than the raise she’d been promised. This was back in the ’80s. Maybe we really are our own worst enemies.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"Once again.....Andrew is presenting a false equivalency when attempting to compare a group of men walking down the same street (same side) as a female late at night and she crosses the street in fear for her life, as being the same as a male not hiring any females within his company. Although one can present an argument and state that females tend to present a certain type of behavior that can be toxic (which can be controlled) in the workplace.....that is far different than several 5'10"" -6'0"" 200 pound males walking towards a female (late at night). One situation could end in severely being physically hurt, or dead, or sexually assaulted, and the other situation ends in simply being severely irritated. 

Furthermore, and to elevate the argument and answer the question: What is morally wrong with only hiring males and no females, all because that is just what some CEO wants to do? Answer: It would be discriminatory, particularly here in the U.S.  That is my descriptive statement and thought.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
Companies are starting not hire women because of the drama they bring to the workplace.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
You know the Chinese have defeated the West when the West is discussing Gender pay gap and what is a woman,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"It's funny how they continuously bring in young people who lack rudimentary understanding in the subject. One would think they do it to look clever. Can't we all together point at these women and say ""Look! they don't have the faintest idea! There's NO difference!""?

Booya, boys!",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"The 3-D‘s of employment that men dominate in participation are the dirty, the dangerous and the difficult jobs. I would add a fourth D to the list. Dependability.  Women simply are not as dependable as men.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
You can’t say penis on YouTube? It’s a body part.,aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"You know. The wage gap/earning gap is with the illegals hun...THAT'S WHY THEY HIRE THEM IN MASS....because they can get away with paying them less.... If that were true with women, there would be more women in mass on teams across industries than mexicans.",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
"I handle events management at my office, it’s the men that cause problems. And whenever we have an event it’s the girls that get together and make it happen (even work overtime and on weekends) men only come to eat, crack a bunch of awkward jokes and leave.
Once at an event literally girls came together and arranged all chairs and tables while men were shamelessly watching from a far and pretended to be busy. It’s NOT  the gender. It’s the mentality",aJwQ9LDd11g,Andrew DEBATES Why The Pay Gap Is Necessary,gender pay gap debate,2026-08-27T05:32:47
I love the way he remains so calm and composed when he knows well they are being deliberately evasive,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Losers,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
THIS IS GOLD,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Those women have to be on something. They're talking complete nonsense.,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
It's funny how she says analyze data. Data is already analyzed the work been done. I could view information myself. I bet they get paid way more than me and they just read and send emails,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
"this is such B.S. ..... opportunity is there at all levels, some people choose to forgo those opportunities for personal comfort.",-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
"Its obvious that logic, reason, and  inquiry are sexist.",-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Next................................................................................................................................................................,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
shame on women,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
"The Public Service under Labor is a bloody joke they have no idea what the answer is 
Shocking",-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
But brawndos got what plants crave: electrolytes,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Minimum wage is the same no matter who you are,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
That man is a true hero.,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
4:48  That’s called salary work. 😖,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
5 delusional woman “gender pay gap activists” destroyed by 1 sensible men 😂😅,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
5 useless b*tches sitting right there. The titles they have given themselves aswell 😂😂😂 total time waisters,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
"I wouldn't pay these ladies anything, as a matter of fact i would fire the whole lot at once.",-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Don't question the ladies! You're getting them upset!,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
My 12 year old daughter uses this same rationale towards her 10 year old brother when she’s trying to shift the blame to him for the lack of effort on her part,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
"Looked this up directly and had to scroll through 12 videos to get to it. Boy, just as misleading as the data itself.",-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Let him cook.,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Just a natural born bullshitter isn't she ....I love it when they get tied in knots,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
😂😂😂 This clip is a bona fide classic,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
one of the dumbest modern debates,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Here’s thought “if women got truly paid less then how come corrupt capitalist business owners hire a all woman staff because if their wages are systematically lower then the owner would get more profit” hmmmmmmmm,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Hay una gran diferencia entre ser un alumno aplicado sobresaliente de excelencia de privilegios de prestigio de honor de servicio etcétera.,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Si es posible bombardear tolemaida.,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
Lo siento perdiendo el tiempo.,-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
"No vas a nacer en un lugar donde no tiene sentido nacer, infertilidad,.",-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
"Men in high positions do get paid more than women for the same exact roles under the same contracted hours period. How do I know that, coz I have seen the data. As I matter of fact I used the data to get a raise myself. So if it doesn’t affect your shift work job it doesn’t mean it doesn’t affect others. 
If you don’t have visibility into certain realities or it doesn’t affect you please step aside. Yours truly",-pdnkbs4l_g,What about the gender workplace hours gap?,gender pay gap debate,2026-08-27T05:32:49
I’m a dude wtf is this sexism holy shit bro it’s about practice,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Wasn't she the cheater girl ? 😂😂😂,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
This dude is genuinely spouting sexist bull lol,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Ball and gun gamer,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
"That is a girl game exactly. Men would be very bad at it, game is too difficult for them",hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
A lot of the women who get big in the gaming sphere often end up being exposed as cheaters...js. faze is one of them. She will destroy you with aimbots and walls.,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Girl her 1v1 me ill win 100,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
I play valorant it ain't even that bad. Why is everybody acting like it's a girl game? It's basically just csgo but with no bombs but abilities so you don't get a flashbang. You get a flashbang but made from a robot. They really weren't creative with some of these abilities though. Like for example KJ she places down each turret just a turret. That's it,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
nah all girl shooters will suck the second they play roblox life sentence bro boys are like a kind of hella sweats,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Frantic,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Holy ball and gun gamer,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
What is this dishwasher yapping about 😂,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Brad sucks bro,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Girls generally aren't good at FPS games but the main person I play with on Battlefield is a girl up in Canada and she actually kicks a lot of ass. It's maybe a bit rare but not totally out of the question.,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
yikes.,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Bro he is talking straight shi bro,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Rowdyrogan can destroy Faze kalei,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
"I was once looking at the people with the highest IQ of all time, and it astounded me how almost everyone there was male. Some time later I saw the IQ spread curve for men vs women, and they're different in a way that women's curve peak higher in the middle, meaning they have a higher tendency than men to be close to the average, while men have a higher spread, meaning that both the highest and the lowest IQs in society tend to be men's.

My guess is that the same thing applies to gaming, that you'll find that both the best and the worst players are men, while women are found way more where the average rating would be.",hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
i have female friends who absolutely annihilate at fps online games to the point where the guys get all salty and resort to grape threats,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Me im very good at cod like ive gotten 41 bomb on resurgence once the rest 30 and 20 bombs,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Girls are not bad at video games 😭🙏,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Men tend to be more hierarchical and women ecological,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Shes so fine,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
How bout y’all try siege,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
"This is why I try to avoid male gamers I only really trust female gamers, I try to remain cautious around male gamers..",hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
She’s not even a girl,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Games like valorant are for influencers and mentally twelve year olds...,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
"Why people always genderelized games?, i'm a woman and i play shooter games just not the multiplayer one. Many mans also play dressing up or cooking game or any ""girls"" game, game doesn't have gender you can play any games you want😂",hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Game dev here. Facts.,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
Those women would fail on LAN. And we all know why.,hnt_Mcfufro,Why Girls Are BAD At Video Games,women in gaming controversy,2026-08-27T05:32:51
its crazy to me that blizzard doesnt have an inclusive scene,Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
Men deserve their own space,Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"If you're a real woman gamer, play rivals and ditch over watch. Activision blizzard has a track record abusing women that lead to there end. They dont care about your pro nouns and what you are. They only use you when theyre publicly put in a bad light when legal actions are against them. We need to bring back #NotYourShield",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
You're a fuckng idiot. I played overwatch for several years and females are way more toxic in that game than guys. Girls in overwatch are toxic because I think they feel like they have to fit in so they try to bully someone and impress the other guys in the chat.,Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"She got into a competitive sphere and used her gender to throw her game off. Welcome to competitive trash talk. An art to get under people's skin to win games.

I get it it sucks listening to all the bs and horrible things some people say. However these hyper competitive games are always going to have people bad mouth everyone to throw others off.",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"I have no problem with girl gamers, it's the girl devs that are killing the industry. Sweet baby inc SUCKS",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"Women do suck at videogames, most sports too that can be playd by both genders, that is why we dont put them in the most serious of competitions, but it is not a reason to abuse power and demean them. For the sake of kindness, people deny this reality in fear of being called misogynistic. Man up",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"0:20 ""it's not because they suck guys c'mon!!!"" 

Uh... Is that way in every competitive game ever when it's men vs women men come out on top? Every sport, chess, every video game...",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"5:50 ""not trying to be sexist"" yeah clearly you don't have to try, comes natural to you",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"Reason why women suck at video games is because we don't allow them to get good at games we don't allow them to play anything but animal crossing.
Let the girls play elden ring man.",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"There really shouldn't be a women's league and men's league. There should be no separation. That is not equal. There is no difference in skill between males and females.

Yes, you can say that a women's league gives women the opportunity to be away from men, but an all female league can still form in a unisex league. The division is incredibly unnecessary.",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"Ur full of crap

show the games
Wins
And played they played with

I GUARATEE these girls were carried

Stating there no opportunities for girls is bullshit

THEY JUST SUCK",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"5:55 ok a bit of devil's advocate here... I'm a dude and I notice that if I have a bad day or I'm in a shitty mood I play worse and get tilted easier because I'm already pissed. If a woman is on her period and is in a terrible mood because that's how biology works, it is understandable that she might play worse, right? Video games are incredibly mental in a way that few other things are, so I don't think this argument holds for politics or other less ""competitive"" jobs.",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
how are u a dick fo literally everyone but act like this when the topic is women,Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
"As a woman my gender becomes a poiint of conversation in VC about half of my games immediately when I get on mic. Of that, most of it is weird comments that range from joking to flirting. I get asked how old I am without fail. Once in a while I get sadistic harassment, sometimes about being female = trash at video games, sometimes graphic r*pe threats. I only play Overwatch. 
This behavior is more common in LFG discord servers. They are MORE comfortable saying deranged things to me with 3 other teammates actively on mic. Sometimes they defend me sometimes they just kinda laugh uncomfortably. Think about that. Getting into esports means joining those organized spaces that are more hostile than just the general game.
I also noticed in OW - while much better than games I used to play - has their own version of wanting women to ""stay in their lane."" I get much less sexual or sexist harassment when I queue support. I get more when I queue DPS. By far I get the most when playing tank. I've even had a guy tirade against me that women just arent good enough to play tank because we ""aren't good leaders"" and ""have no spacial awareness"" (while I was actively carrying that game on Winston btw).
I'm used to weird comments as I'm an electrical engineer and a young woman, but its nothing compared to video game communities.",Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
women dont given the same equaly chances as men? say that to the league of legends e sport team my guy ! you miss the point from the start!,Vw6OIHPVuEk,Why Women Suck At Video Games,women in gaming controversy,2026-08-27T05:32:53
